X;Y;id;alue
416510.271331761;6714496.75013321;1;"Maentsaelae, Purola"
451751.168919062;6740100.13196699;2;"Orimattila, Korpistonoja"
422221.069308732;6725615.37714465;3;"Pukkila, Savijoki, ydin"
423032.535926229;6727459.27924754;4;"Pukkila, Suomela"
422232.080672405;6722945.8139299;5;"Pukkila, Naarkoski"
419943.034815199;6719118.17184891;6;"Pukkila, Maettaehistae, Suokanta"
342504.895533126;6667316.02798386;7;"Inkoo, Tvaera"
294613.893674505;6708206.47808607;8;"Pertteli, Nokka-Jussi-Halla"
301442.682747501;6713928.18719363;9;"Salo, Viljala"
300970.798310875;6715543.36804028;10;"Salo, Koivusaari-Ihamaeki"
297407.975730924;6723736.74912711;11;"Somero, Kerkola, Myllyniittu"
299743.551886214;6722493.44501869;12;"Somero, Haentaelae, Kankare"
293944.842687083;6707906.87184916;13;"Salo, Pertteli kk N"
297742.36928478;6710005.36590596;14;"Salo, Pertteli, Nokka"
300487.028855759;6721231.31185961;15;"Somero, Haentaelae"
302362.806829844;6721518.53810409;16;"Rekijoki, Talvisilta-N"
419185.347392503;6717969.2894322;17;"Askola, Tarkki"
418984.866852798;6715915.62047568;18;"Askola, Riitaniittu"
421293.260523737;6727105.63720279;19;"Pukkila, Raemsae"
343280.375490845;6665974.91460206;20;"Inkoo, Brinkbacken"
431287.894859486;6715133.63338178;21;"Askola, Juornaankylae S"
431175.691087453;6716284.16567404;22;"Askola, Juornaankylae"
418045.010333;6726219.01019996;23;"Pukkila, Porrassuo"
420747.661307796;6725970.2781725;24;"Pukkila, Savijoki W"
425203.893772276;6731607.03799855;25;"Orimattila, Muurainkorpi"
457920.229021172;6736330.9709191;26;"Lapinjaervi, Muikkula"
453445.116033873;6745192.67420269;27;"Iitti, Myllylae"
463165.067831772;6725908.51486835;28;"Lapinjaervi, Koivisto"
478219.067129313;6741120.58636595;29;"Kouvola, Takamaa NE"
477066.687595617;6740445.34416695;30;"Kouvola, Takamaa"
474961.699823354;6739440.22063344;31;"Kouvola, Kulhua, Koivusaari-Lehtoranta"
475766.128550542;6736204.44138377;32;"Kouvola, Lakiasuo-N"
428949.897224548;6710657.58924751;33;"Askola, Praestbacka"
430019.999093787;6705430.91564385;34;"Porvoo, Ilola"
429381.064029969;6706217.91161092;35;"Askola, Aatola"
428901.738082737;6714178.48896517;36;"Askola, Vaehae-Huuvari"
302574.45277873;6711010.66576339;37;"Salo, Rekijoki, Keltanummi"
306312.851692634;6668813.30440358;38;"Raasepori, Pohja, Berggaerd"
304583.845811022;6668234.57633358;39;"Raasepori, Pohja, Braedtorp"
319971.489650615;6669848.34366671;40;"Raasepori, Mjaelbolsta"
315076.057400227;6659254.31717967;41;"Raasepori, Finby"
343118.629054085;6674371.43455131;42;"Siuntio, Gaerdskulla"
340751.844329257;6672369.68431513;43;"Siuntio, Flyt"
650183.172870499;6942033.88482756;44;"Kontiolahti, Iiksenniitty"
435560.574326413;6723145.39892608;45;"Myrskylae, Humalakoski"
475054.843506087;6735437.18746509;46;"Kouvola, Lakiasuo-S"
476267.718460164;6738372.19381312;47;"Kouvola, Kulhua, Marjaviljelmae"
476058.09582113;6740032.4035439;48;"Kouvola, Takamaa, Prikuu"
477454.979452868;6736650.35047222;49;"Kouvola, Porrassuo-Laeytty NW"
478426.201433367;6737141.53198923;50;"Kouvola, Porrassuo-Laeytty Joulukuusi"
478677.214493388;6734751.25288449;51;"Kouvola, Porrassuo-Laeytty S"
478573.328164496;6735762.64367838;52;"Kouvola, Porrassuo-Laeytty"
476964.163509317;6729432.59207927;53;"Kouvola, Villikkala koulu"
475875.879465037;6729874.12824352;54;"Kouvola, Villikkala W"
469655.595522854;6721824.47891279;55;"Loviisa, Ruotsinkylae, Lemola"
469144.447041488;6722218.97233659;56;"Loviisa, Ruotsinkylae, Merikoski"
441777.220288217;6702580.43351445;57;"Loviisa, Tervik"
441737.524232259;6712223.67549902;58;"Loviisa, Malmgaerd"
446303.882264938;6721749.1967566;59;"Loviisa, Hommasbacken"
440328.950042389;6718466.11584542;60;"Myrskylae, Jaakkola, Lill-Paevals"
299704.229818065;6711018.03136123;61;"Salo, Rekijoki, Laeytaemaa"
295798.576289844;6699624.69702092;62;"Salo, Muurla, Eriksberg-Ruotsala"
296067.698994284;6698407.89578389;63;"Salo, Muurla, Koski"
293262.332326541;6694378.90567254;64;"Salo, Muurla, Kistola"
288132.506726826;6694334.16005289;65;"Salo, Muurla, Pullolan pussinperae"
295589.756547271;6696647.17277031;66;"Salo, Muurla, Maenty"
295337.068817691;6695853.9244615;67;"Salo, Muurla, Kuturamaeki"
260907.365205811;6703296.04417965;68;"Paimio, Meltola, Pihlaja"
258056.253273936;6703683.23593412;69;"Paimio, Laaroinen"
303716.022412802;6711285.2688789;70;"Salo, Rekijoki, Haali"
391327.362469609;6706733.2913183;71;"Tuusula, Vanhakylae"
249961.676997544;6720723.89559403;72;"Lieto, Maekkylae"
250860.724744577;6722352.79309597;73;"Lieto, Nautela"
251706.420103708;6715756.45178536;74;"Lieto, Pettinen"
252739.451257798;6716897.4061921;75;"Lieto, Raukkala"
247596.852450992;6715526.26821873;76;"Lieto, Vaeaentelae"
246460.150617198;6715600.13413501;77;"Lieto, Vaeaentelae-W"
245462.407701447;6715129.40028187;78;"Lieto, Aliskulma"
402521.709215631;7083485.79422769;79;"Nivala, Jako-Pumppuamo"
340817.052159211;6675108.80915015;80;"Siuntio, Maerbacka"
337066.71754129;6674820.09462427;81;"Siuntio, Myrans Vejans"
338122.178374894;6675573.34004798;82;"Siuntio, Myrans koivukujat"
478237.039357096;6729780.67116334;83;"Kouvola, Villikkala E"
482228.720476017;6731089.99539028;84;"Kouvola, Peraepalo"
484852.675353166;6730713.44220688;85;"Kouvola, Junkkari"
430104.77558621;6717063.26534744;86;"Askola, Juornaankylae NW"
403717.604351248;6700462.68057612;87;"Sipoo, Paippinen"
293874.889725415;6707205.68498117;88;"Salo, Pertteli, Kirkko"
271849.405461896;6705019.95083754;89;"Salo, Pitkaeporras"
260771.822867201;6703918.8328313;90;"Paimio, Meltolan kartano"
261074.653690684;6704914.61894427;91;"Paimio, Vartsalo"
261033.446602849;6694025.1267989;92;"Sauvo, Tapila"
260494.879334407;6696715.19974527;93;"Sauvo, Iso-Maekipaeae"
250016.859958941;6719407.69937652;94;"Lieto, Tuuliala-Kaskala"
248833.585894024;6714872.71307347;95;"Lieto, Sillilae"
254069.116650608;6720939.73507589;96;"Lieto, Hultti-Vaelimaeki"
259240.733841634;6720696.1634684;97;"Lieto, Torstila"
260881.960802613;6721817.09208693;98;"Lieto, Paappala"
260834.694826549;6740268.23582875;99;"Paeytyae, Kulhua"
262108.860090473;6742287.68307697;100;"Paeytyae, Himainen, Uusitalo"
263457.525031208;6746489.66277753;101;"Paeytyae, Raatikainen, Sarkki"
268715.712771417;6750048.92987237;102;"Paeytyae, Koivusaari"
266858.98820759;6749336.69404961;103;"Paeytyae, Pihlava, Turtola"
281613.489810671;6743114.58353607;104;"Loimaa, Mellilae, Uusi-Tohna"
405219.525399376;7085190.53724925;105;"Nivala, Kaeyhaenperae"
422794.647390103;6732360.30728525;106;"Orimattila, Halmaa"
295608.349719845;6704772.65456652;107;"Salo, Inkere"
262736.038965029;6720528.35284252;108;"Lieto, Hihna"
258898.986850375;6736067.58110249;109;"Paeytyae, Vaehae-Kauloo"
294140.783405642;7000175.14459704;110;"Kauhava, Saarimaa"
278768.323473218;6972138.35438856;111;"Ilmajoki, Tieksinluoma"
469248.979678933;6746632.79438091;112;"Iitti, Parolanlaeaeni, Paeivaerinta"
227254.596301591;6797619.86056273;113;"Eura, Panelia, Ellola"
225661.069745009;6798423.71855042;114;"Panelia, Lammisuo-S"
262642.265948039;6760604.35574581;115;"Ylaene,Oripaeae, Peraemaeenkulma"
258514.986080786;6760148.11472319;116;"Ylaene, Keihaeskoski"
278796.199633092;6701245.73450498;117;"Salo, Halikko, Maennikkae"
301732.49250153;6719237.03704354;118;"Rekijoki, Laenkae S"
302220.470089716;6726848.96974924;119;"Rekijoki, Kimala"
302490.07748707;6724062.52654509;120;"Rekijoki, Lehtovirta"
288971.53613555;6714739.71639599;121;Kuusjoki Mytvas
426751.157085803;6725479.91780863;122;"Pukkila, Kantele-kylae W"
306550.771971008;6753647.1590314;123;"Jokioinen, Nummela N"
306052.280551827;6752774.46652507;124;"Jokioinen, Nummela SW"
307240.962414719;6751404.05890528;125;"Jokioinen, Savikko"
371664.246649301;6702676.5566088;126;"Lepsaemae, Valkeissuo"
370390.663478794;6702429.98413254;127;"Lepsaemae, Valkeissuo W"
371823.355987058;6704423.24393748;128;"Lepsaemae, Isoniitty S"
369733.726109055;6697396.81044815;129;"Lepsaemae, Metsae-Mahkae"
366068.260232043;6700162.53393806;130;"Vihti, Gaesterby"
301579.94206948;6725942.60657628;131;"Rekijoki, Liukonkulma"
301703.471928927;6724118.0047566;132;"Rekijoki, Lehtovirta"
300812.358435174;6719781.91903411;133;"Rekijoki, Laenkae"
475881.739680547;6723409.52304335;134;"Raussila, Suuriniitty"
475459.525175295;6724344.90906484;135;"Raussila, Harjunkorpi 1"
477160.654671985;6725682.48927084;136;"Raussila, Pennanviidanmaeki"
475198.396507681;6726089.1797936;137;"Raussila, Raussi"
425434.656853273;6728050.65760842;138;"Pukkila, Lehmiaenmutka"
426465.779219979;6729863.34572224;139;Orimattila Ruha-Munamaeki
403573.022600651;6712610.90197592;140;"Maentsaelae, Tikkaro"
474895.21178252;6723609.92820398;141;"Raussila,Harjunkorpi 2"
306735.69516701;6752513.18478168;142;"Jokioinen, Minkioe"
392640.99756552;6775608.86275379;143;"Lammi, Vanha-Kartano"
387254.09272592;6772028.97515592;144;"Lammi, Syrjaentausta SW"
389458.070018183;6778707.3563899;145;"Lammi, Porkkala"
382804.454052348;6691464.37715139;146;"Vantaa, Seutula, erillinen W"
425519.85898552;6729886.5033717;147;"Orimattila, Vuohikallio"
300216.221114489;6723064.82738961;148;"Somero, Haentaelae, Kankare yksittaeinen"
260724.124559161;6701542.27543062;149;"Paimio, mytvas"
261198.473160413;6700554.15740089;150;"Paimio, mytvas S"
259963.120529536;6758295.58721449;151;"Oripaeae, Makkarkoski"
277933.448466168;6937285.82606348;152;"Jalasjaervi, mytvas"
296413.285228917;7019516.60259731;153;"Alahaermae, mytvas"
239149.301252653;6961417.7537623;154;"Jurva, mytvas, jurvajaervi"
269596.446806508;6926339.58408685;155;"Kauhajoki, mytvas 1"
268843.949012982;6927146.89846361;156;"Kauhajoki, mytvas 2"
308440.498996913;7031029.71810898;157;"Kortesjaervi, mytvas"
408675.038615541;6763588.41085577;158;Hollola
364303.100414933;6717283.63904919;159;Loppi
220788.115337897;6735883.35567363;160;"Mynaemaeki, mytvas 1"
219788.184322447;6735671.03209964;161;"Mynaemaeki, mytvas 2"
220004.240078702;6735158.05814398;162;"Mynaemaeki, mytvas 3"
418000.915852729;6712307.37319742;163;"Askola, mytvas"
385977.685074355;6683632.77698189;164;"Helsinki, Niskala_Backas 1"
386143.944202086;6684408.18091994;165;"Helsinki, Niskala_Backas 2"
273893.283049733;6714463.20246068;166;"Halikko, mytvas"
614872.740789065;6945807.92700904;167;"Liperi, mytvas 1"
618018.313101675;6945361.72079067;168;"Liperi, mytvas 2"
366837.911256078;7068397.29020876;169;"Lestijoki, Maeaettaelae"
305020.224408589;6920560.90080806;170;Peraeseinaejoki
398664.122943565;6715735.94467947;171;"Maentsaelae, Ohkola S"
390664.682532186;6778022.00268462;172;"Lammi, Porkkala"
425340.18551996;6724978.27019187;173;"Pukkila, S erillinen"
351655.922799022;6680725.26974535;174;"Siuntio, Annila"
238299.070745861;6961857.72996753;175;"Jurva, mytvas W"
311536.414741248;6910250.29662585;176;"Virrat, mytvas 1"
310720.910303457;6910984.99603259;177;"Virrat, mytvas 1"
238476.553875158;6980484.85139356;178;"Laihia, mytvas"
270305.439316977;6927089.51457676;179;"Kauhajoki, mytvas 3"
385595.172491024;6685132.30598126;180;"Helsinki, Niskala_Backas 3"
457033.461066503;6734590.81299415;181;"Lapinjaervi, mytvas"
274954.992348053;6714391.35356528;182;"Halikko, Ihanala"
288062.563473143;6715385.05686656;183;Kuusjoki mytvas N
316019.643350882;6779866.00640302;184;"Urjala, mytvas"
293061.560959805;6787715.78754664;185;"Punkalaidun, mytvas"
278497.2133169;6702550.60852571;186;"Salo, Halikko, Maennikkae N"
277674.977646024;6938226.32125786;187;"Jalasjaervi, mytvas yksittaeinen"
317447.527716775;6953875.09886287;188;"Kuortane, mytvas"
371591.194087888;7061036.46996565;189;"Lestijoki, Siliapaikka"
678915.067881648;6918091.89416489;190;Kiihtelysvaara
395187.78440276;6784199.98717007;191;"Lammi, Iso-Evo E"
394384.444860223;6784140.09988881;192;"Lammi, Iso-Evo W"
391994.308961356;6769345.66123589;193;"Lammi, Jahkola W"
393427.066398856;6770720.10014744;194;"Lammi, Oinen"
392960.230250378;6769510.76582367;195;"Lammi, Jahkola"
394752.329305584;6749999.80737627;196;"Mommila, mytvas w"
395862.469380743;6750627.46367417;197;"Mommila, mytvas e"
391717.584662651;6777028.45881454;198;"Lammi, Vanhakartano, Sankola"
393289.558821632;6774687.2635917;199;"Lammi, Vanhakartano SE"
397080.304386312;6797392.37610264;200;"Padasjoki, Auttoinen"
485679.616080668;6730397.59568602;201;"Kouvola, Junkkari"
477166.150715865;6738977.31015216;202;"Kouvola, Takamaa S"
430997.716195368;7115438.8626599;203;"Haapavesi, Piipsanneva N"
404299.275061943;7082837.17834676;204;"Nivala, Jako, Jokivarsi E"
401442.520010586;7085057.69560022;205;"Nivala, Ritoneva"
420072.406465678;6705566.21220983;206;"Porvoo, Kaarenkylae"
333124.403210121;6707974.94316272;207;"Lohja, Pusula, Jokipelto"
419825.449775757;6706724.84514696;208;"Askola, Monninkylae"
223038.0862305;6801349.48607416;209;"Eurajoki, Huhta"
246547.953700738;6929888.78082218;210;"Kauhajoki, Rojunneva"
246980.807358761;6930485.49953924;211;"Kauhajoki, Yli-Kokko"
244644.075257505;6932236.16409744;212;"Kauhajoki, Metsae-Kokko"
295144.341133683;7001467.09223143;213;"Kauhava, Alatupa"
295918.788293109;6998116.38783309;214;"Kauhava, Alainenkorpi"
294510.712738693;6999051.37074171;215;"Kauhava, Saarimaa S"
293004.94786246;6998710.72408161;216;"Lapua, Lintutornin alue"
293312.212431244;6999931.00564026;217;"Kauhava, Ruhansaari"
285752.691537846;7036497.63199186;218;"Uusikaarlepyy, aevre Mossen"
433621.934583504;7190010.65382582;219;"Tyrnaevae, Korpi"
434602.237258116;7190386.10540633;220;"Tyrnaevae, Jetsonen N"
433117.712764766;7191415.97595181;221;"Tyrnaeva, Ritokorpi-Patala"
407150.358983248;7193443.50207992;222;"Lumijoki, Saeaeskenmaa"
404350.24878835;7188770.46086356;223;"Siikajoki, Vartti"
472662.246547478;7155280.4084231;224;"Vaala, Pelso"
474929.938732854;7147377.49584178;225;"Vaala, Pelso S"
435761.636656332;7186219.13100486;226;"Tyrnaevae, aengeslevae W"
274063.70758013;6722391.78786876;227;"Marttila, Alikylae"
280631.53488375;6727652.52790964;228;"Marttila, Kauppi"
297206.576054033;6703443.29169927;229;"Salo, Romsila, Paeivaelae"
475651.619575612;7153307.51637682;230;"Vaala, Puutteenperae"
447842.57274018;7187612.64068975;231;"Muhos, Soso"
446168.145949312;7185625.77423696;232;"Muhos, Kankaannokka"
294468.123415705;6709272.57706199;233;"Salo, Pertteli, Tattula-N"
296283.897562689;6708711.93823007;234;"Pertteli, Vihtamo"
300875.558535267;6722821.4258194;235;"Rekijoki, Rinnemaeki"
300619.583432162;6723874.84542564;236;"Rekijoki, Sillanpaeae"
299714.665342582;6723821.22787085;237;"Rekijoki, Syvaenoja"
301937.988630824;6725021.94578083;238;"Rekijoki, Koivula"
332476.320057732;6704694.06747811;239;"Lohja, Pusula, Maikkala"
369528.179388338;6700818.48293946;240;"Lepsaemae, Helkku"
369510.679589437;6699826.02409319;241;"Lepsaemae, Nurmela-N"
369086.3077883;6698512.82530285;242;"Lepsaemae, Ali-Labbarti"
369282.593563152;6703347.91901308;243;"Lepsaemae, Koho"
371446.264952521;6704995.6600345;244;"Lepsaemae, Isoniitty"
383954.207806545;6689402.19844426;245;"Vantaa, Seutula-S"
383490.931474147;6691314.15081146;246;"Vantaa, Seutula, Haapasaari ydin"
384901.645897841;6690519.25661255;247;"Vantaa, Seutula, Tuusulanjoki"
384536.74017956;6691656.21979899;248;"Vantaa, Seutula NE"
398731.666339976;6716957.92710664;249;"Maentsaelae, Ohkola Kylae"
399506.12735388;6716477.78483824;250;"Maentsaelae, Ohkola Kylae"
398052.481455249;6717986.29724465;251;"Ohkola, Jaakkola"
423478.217658277;6725208.80488642;252;"Pukkila, Joentausta"
422445.250199337;6726740.98783334;253;"Pukkila, Taka-Kittelae_Ylaestalo"
424259.074883055;6728132.23523178;254;"Orimattila, Kurunkulma"
425113.144695685;6726575.00862503;255;"Pukkila, Jaakkola-Nurmela"
426530.040774875;6726486.80874833;256;"Pukkila, Kuivalanmaeki-Rauhala"
428792.097452863;6726673.80613718;257;"Pukkila, Paskasuo"
426963.591694735;6727664.44326192;258;"Pukkila, Rautasuo-Seppaelae"
427386.066440346;6729936.82174413;259;"Orimattila, Tuulensuu"
468543.751482166;6747512.72791143;260;"Iitti, Mytvas"
476041.959941283;6726090.28474833;261;"Raussila, Tyyskaenmaeki"
387618.952390583;6772939.20213442;262;"Lammi, Syrjaentausta Center"
302114.585540656;6713190.42975734;263;"Salo, Pyysmaeki, Linna hevostal"
258823.591849461;6705332.62133879;264;"Paimio, Kyllelae-Kinkka"
250544.774588939;6714438.95372422;265;"Lieto, Taatila"
315053.095403798;6764697.12865703;266;Forssa
226675.525416273;6799233.32356922;267;"Panelia, Suosaari"
294000.355485354;7000765.61018461;268;"Kauhava, Saarimaa 1"
288076.737579527;7035281.91451917;269;"Uusikaarlepyy, Kangkyttan"
404024.953312929;7083384.18496251;270;"Nivala, Jakonmutka-Pumppuamo"
402909.068825248;7084097.85519835;271;"Nivala, Iisakinmutka-Jakonmutka"
432564.037734503;7113752.41964423;272;"Haapavesi, Piipsanneva N"
433890.379518596;7111594.30168157;273;"Haapavesi, Piipsanneva S"
437079.805622637;7188533.006546;274;"Tyrnaevae, Lehtoniemi-Heikkilaent"
615627.665129114;6945183.89532005;275;"Liperi, Siikakoski"
618016.896625971;6945815.66530949;276;Liperi
432251.632850737;6917325.918858;277;"Jyvaeskylae, Tikka-Mannila"
420295.816715804;6713698.97913119;278;"Askola, Puhar-Onkimaa"
427574.419871572;6725120.11987785;279;"Pukkila, Kantele-kylae E"
